|id|ret
0|25001|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
1|25002|客服中心接到客户反映通过通信大数据行程卡获取验证码后，点击查询提示“验证码错误”，再次重新获取时无法接收到验证码。
2|25003|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
3|25004|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
4|25005|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
5|25006|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
6|25007|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
7|25008|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
8|25009|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
9|25010|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
10|25011|“您好，您反映的问题我们已经记录，由于周边基站出现故障，导致该地址周边信号覆盖较差，我公司已安排进行故障处理。”（如用户强烈不认可并追问时限，则按【预计完成时间】字段解答，因该问题解决涉及到较多客观原因，非我公司可控，完成时间可能会提前或滞后，但是请您放心，我公司会有专门的技术部门全力跟踪支撑）。;投诉现象最近发生时间：以前信号很好，最近信号不好;
11|25012|客户来电反映在所有位置信号正常，无法上网，换机换卡无效，经系统查询号码上网功能及状态均正常，已为客户进行“一键体检”操作无效，客户要求我方核实具体原因并回复，谢谢！		
12|25013|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
13|25014|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
14|25015|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。！
15|25016|客户来电反映无法接收到短信，请提供下发的号码******以及时间**:**:**，为客户记录反映，客户的诉求****
16|25017|您好，您反映的问题我们已经记录，由于周边基站出现故障，导致该地址周边信号覆盖较差，我公司已安排进行故障处理。”（如用户强烈不认可解答的时限，则解答为因该问题解决涉及到较多客观原因，非我公司可控，完成时间初步估计以“失效时间”字段内容为准）。;投诉现象最近发生时间：以前信号很好，最近信号不好;
17|25018|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
18|25019|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
19|25020|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
20|25021|用户来电反映对202012月份的流量使用情况有疑义，我某某人常按照上网日志解释并建议其查询上网详单，用户强烈不认可，要求我方为其核实具体使用情况，请尽快处理，谢谢！
21|25022|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：不清楚（包含刚搬过来或者路过等情况）;
22|25023|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
23|25024|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
24|25025|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25|25026|用户来电反映对202102月份的流量使用情况有疑义，我某某人常按照上网日志解释并建议其查询上网详单，用户强烈不认可，要求我方为其核实具体使用情况，请尽快处理，谢谢！
26|25027|“您好，您反映的问题我们已经记录，由于周边基站出现故障，导致该地址周边信号覆盖较差，我公司已安排进行故障处理。”	（如用户强烈不认可并追问时限，则按【预计完成时间】字段解答，因该问题解决涉及到较多客观原因，非我公司可控，完成时间可能会提前或滞后，但是请您放心，我公司会有专门的技术部门全力跟踪支撑）。;投诉现象最近发生时间：以前信号很好，最近信号不好;
27|25028|【仅适用于用户上网慢现象】您反映的问题,经初步核查为周边用户私装非官方干扰器,直放站对我公司现网基站设备产生干扰导致，我公司无法强制要求用户拆除，此问题将反馈至北京市无线电管理部门，建议您关注后续使用情况，感谢您的理解与支持。;投诉现象最近发生时间：以前信号很好，最近信号不好;
28|25029|客服中心接到客户反映通过通信大数据行程卡获取验证码后，点击查询提示“验证码错误”，再次重新获取时无法接收到验证码。
29|25030|用户来电反映对202102月份的流量使用情况有疑义，我某某人常按照上网日志解释并建议其查询上网详单，用户强烈不认可，要求我方为其核实具体使用情况，请尽快处理，谢谢！
30|25031|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
31|25032|客户您好，您投诉的区域的相关基站已经建设完成，目前正在对设备紧某某人调试中，希望您能耐心等待，感谢您对我们工作的支持。;投诉现象最近发生时间：一直信号不好;
32|25033|用户来电反映对202012月份的流量使用情况有疑义，我某某人常按照上网日志解释并建议其查询上网详单，用户强烈不认可，要求我方为其核实具体使用情况，请尽快处理，谢谢！
33|25034|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
34|25035|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
35|25036|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
36|25037|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
37|25038|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
38|25039|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
39|25040|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
40|25041|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
41|25042|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
