id|ret
25001|用户来电对202101月产生的15.93元流量费不认可，我方经系统查询安上网日志向用户解释，用户不认可，称自己没有使用过，要求全额退费，因费用大于150元且不同意承担套包价格，我方未承诺核减费用，请处理，谢谢。
25002|********某某人用户来电对11月和12月产生的流量费用50.00元不认可，称当时办理的时候告知是有流量的，解释不认可，前期工单：ts********，现要求尽快处理并回复。
25003|用户来电反映自己号码********在2021-01-01 00: 00: 00 到期，我方查询用户套餐为畅爽冰激凌5g套餐198元购机套餐折扣（7折）12个月合约（社会渠道），用户称自己没有收到短信提示，我方建议用户可通过手厅更改套餐，用户不认可，称自己没有收到，要求我方反馈，烦请处理，谢谢！
25004|用户来电反映自己号码欠费-175.75，我方查询用户号码欠费-175.75，用户称自己没有使用，我方按照账单向用户正常解释，用户不认可，用户称自己没有使用，要求我方核实原因并回复，请处理谢谢！
25005|用户来电反映之前问题，详见工单流水号：ts********，用户来电反映之前有一个返还90元的违约金的业务，用户称之前客服代表告知用户可以返费，用户称本月来电要求我方尽快回电处理，请处理，谢谢
25006|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25007|用户来电反映自己手机流量封顶了，我方查询到用户号码是流量封顶的状态，用户称自己开流量包的时候提示自己是有流量的，用户对此不认可，要求我方核实后回电，请处理，谢谢！
25008|用户来电反映对202101 月份产生的40.23元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25009|用户来电反映自己号码大数据行程卡无法使用，提示应用服务异常，我方已按口径解释，用户不认可，要求我方核实原因，请处理，谢谢！
25010|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25011|用户来电反映自己通过联通公司购买了两某某人充值卡，第一某某人到账了100元，我方查询到账记录，用户不认可，要求我方核实，烦请后台处理，谢谢！
25012|用户来电称申请办理宽带，订单号：********，用户称一直没有人联系，用户要求我方尽快安排装机人员上门安装，用户比较着急，请尽快处理，谢谢
