|id|ret
0|25001|用户来电反映对202012月份的流量使用情况有疑义，我某某人常按照上网日志解释并建议其查询上网详单，用户强烈不认可，要求我方为其核实具体使用情况，请尽快处理，谢谢！
1|25002|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
2|25003|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
3|25004|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
4|25005|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
5|25006|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
6|25007|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
7|25008|客户您好，您投诉的区域的相关基站已经建设完成，目前正在对设备紧某某人调试中，希望您能耐心等待，感谢您对我们工作的支持。;投诉现象最近发生时间：一直信号不好;
8|25009|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：*******
9|25010|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
10|25011|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
11|25012|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
