id|ret
25001|用 户 来 电 对 2 0 2 1 0 1 月 产 生 的 1 5 . 9 3 元 流 量 费 不 认 可 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 称 自 己 没 有 使 用 过 ， 要 求 全 额 退 费 ， 因 费 用 大 于 1 5 0 元 且 不 同 意 承 担 套 包 价 格 ， 我 方 未 承 诺 核 减 费 用 ， 请 处 理 ， 谢 谢 。
25002|* * * * * * * * 某 某 人 用 户 来 电 对 1 1 月 和 1 2 月 产 生 的 流 量 费 用 5 0 . 0 0 元 不 认 可 ， 称 当 时 办 理 的 时 候 告 知 是 有 流 量 的 ， 解 释 不 认 可 ， 前 期 工 单 ： t s * * * * * * * * ， 现 要 求 尽 快 处 理 并 回 复 。
25003|用 户 来 电 反 映 自 己 号 码 * * * * * * * * 在 2 0 2 1 - 0 1 - 0 1   0 0 :   0 0 :   0 0   到 期 ， 我 方 查 询 用 户 套 餐 为 畅 爽 冰 激 凌 5 G 套 餐 1 9 8 元 购 机 套 餐 折 扣 （ 7 折 ） 1 2 个 月 合 约 （ 社 会 渠 道 ） ， 用 户 称 自 己 没 有 收 到 短 信 提 示 ， 我 方 建 议 用 户 可 通 过 手 厅 更 改 套 餐 ， 用 户 不 认 可 ， 称 自 己 没 有 收 到 ， 要 求 我 方 反 馈 ， 烦 请 处 理 ， 谢 谢 ！
25004|用 户 来 电 反 映 自 己 号 码 欠 费 - 1 7 5 . 7 5 ， 我 方 查 询 用 户 号 码 欠 费 - 1 7 5 . 7 5 ， 用 户 称 自 己 没 有 使 用 ， 我 方 按 照 账 单 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 用 户 称 自 己 没 有 使 用 ， 要 求 我 方 核 实 原 因 并 回 复 ， 请 处 理 谢 谢 ！
25005|用 户 来 电 反 映 之 前 问 题 ， 详 见 工 单 流 水 号 ： t s * * * * * * * * ， 用 户 来 电 反 映 之 前 有 一 个 返 还 9 0 元 的 违 约 金 的 业 务 ， 用 户 称 之 前 客 服 代 表 告 知 用 户 可 以 返 费 ， 用 户 称 本 月 来 电 要 求 我 方 尽 快 回 电 处 理 ， 请 处 理 ， 谢 谢
25006|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 一 直 信 号 不 好 ;
25007|用 户 来 电 反 映 自 己 手 机 流 量 封 顶 了 ， 我 方 查 询 到 用 户 号 码 是 流 量 封 顶 的 状 态 ， 用 户 称 自 己 开 流 量 包 的 时 候 提 示 自 己 是 有 流 量 的 ， 用 户 对 此 不 认 可 ， 要 求 我 方 核 实 后 回 电 ， 请 处 理 ， 谢 谢 ！
25008|用 户 来 电 反 映 对 2 0 2 1 0 1   月 份 产 生 的 4 0 . 2 3 元 流 量 费 用 存 在 疑 义 ， 按 移 动 上 网 日 志 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 我 方 按 照 快 速 流 程 核 减 费 用 ， 用 户 仍 不 认 可 ， 强 烈 要 求 我 方 查 询 具 体 原 因 ， 请 处 理 并 回 复 ， 谢 谢 ！
25009|用 户 来 电 反 映 自 己 号 码 大 数 据 行 程 卡 无 法 使 用 ， 提 示 应 用 服 务 异 常 ， 我 方 已 按 口 径 解 释 ， 用 户 不 认 可 ， 要 求 我 方 核 实 原 因 ， 请 处 理 ， 谢 谢 ！
25010|用 户 来 电 反 映 手 机 在 所 有 地 方 均 无 法 连 接 网 络 ， 查 询 用 户 手 机 状 态 正 常 ， 已 为 用 户 一 键 体 检 ， 无 效 ； 建 议 用 户 换 机 尝 试 ， 用 户 不 认 可 ， 要 求 投 诉 ， 请 尽 快 处 理 ， 谢 谢 。
